CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2016,35,Comisión Nacional de los Derechos Humanos,O,Apoyo a la función pública y al mejoramiento de la gestión,36.89243407
2016,35,Comisión Nacional de los Derechos Humanos,P,"Planeación, seguimiento y evaluación de políticas públicas",20.37301018
2016,35,Comisión Nacional de los Derechos Humanos,R,Específicos,40.37793807
2016,37,Consejería Jurídica del Ejecutivo Federal,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,26.878884460000002
2016,37,Consejería Jurídica del Ejecutivo Federal,O,Apoyo a la función pública y al mejoramiento de la gestión,6.84491212
2016,37,Consejería Jurídica del Ejecutivo Federal,P,"Planeación, seguimiento y evaluación de políticas públicas",111.34091148
2016,38,Consejo Nacional de Ciencia y Tecnología,E,Prestación de Servicios Públicos,5584.45622917
2016,38,Consejo Nacional de Ciencia y Tecnología,F,Promoción y fomento,3030.22047602
2016,38,Consejo Nacional de Ciencia y Tecnología,K,Proyectos de Inversión,209.71726267
2016,38,Consejo Nacional de Ciencia y Tecnología,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,711.28182199
2016,38,Consejo Nacional de Ciencia y Tecnología,O,Apoyo a la función pública y al mejoramiento de la gestión,59.89770573
2016,38,Consejo Nacional de Ciencia y Tecnología,P,"Planeación, seguimiento y evaluación de políticas públicas",1331.32690375
2016,38,Consejo Nacional de Ciencia y Tecnología,S,Sujetos a Reglas de Operación,16621.30072788
2016,38,Consejo Nacional de Ciencia y Tecnología,U,Otros Subsidios,4078.3547775099996
2016,40,Información Nacional Estadística y Geográfica,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,394.71135902
2016,40,Información Nacional Estadística y Geográfica,O,Apoyo a la función pública y al mejoramiento de la gestión,66.15046571
2016,40,Información Nacional Estadística y Geográfica,P,"Planeación, seguimiento y evaluación de políticas públicas",7085.99344413
